id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
21706511,"Comfortable- JFK,LGA Best Value",48992030362,verified,Shared Stay-JFK The Hugh Suite,Queens,Springfield Gardens,40.66102,-73.77035,United States,US,True,strict,Private room,2010.0,$734 ,$147 ,1.0,57.0,6/21/2019,7.28,3.0,3.0,342.0,"We will try to always treat you with loving kindness and respect, and we expect the same from our guests. We expect our guest to abstain from smoking and drinking  in the room (or house in general).",
47470201,"Beautiful, True 1BR in Park Slope",47000803900,verified,Stephen,Brooklyn,Windsor Terrace,40.65895,-73.97768,United States,US,True,moderate,Entire home/apt,2011.0,$633 ,$127 ,5.0,1.0,3/24/2016,0.02,4.0,1.0,354.0,"Please know this is my 2 bedroom condo that I live in full time. I am happy to allow access to the kitchen, living room, balcony/grill with the understanding that you will respect my space and belongings. Please clean up after yourselves- dishes in dishwasher if used, take out trash before leaving, ect.. Also, please be respectful of the other tenants in the building. No loud music or parties.",
36764418,Studio - large room lots of light,27559981819,unconfirmed,Kim,Brooklyn,Bedford-Stuyvesant,40.68814,-73.93591,United States,US,False,moderate,Entire home/apt,2004.0,"$1,107 ",$221 ,6.0,23.0,7/31/2021,0.33,2.0,1.0,123.0,,
29871162,Lovely 1 Bedroom Apartment,22487228149,unconfirmed,Ioan,Queens,Glendale,40.70149,-73.87643,United States,US,False,strict,Entire home/apt,2003.0,"$1,006 ",$201 ,2.0,15.0,2/22/2022,2.49,3.0,2.0,365.0,,
21937372,Cute Hells Kitchen Apt. w Balcony,66583465260,unconfirmed,Alana,Manhattan,Hell's Kitchen,40.76192,-73.99698,United States,US,True,flexible,Entire home/apt,2009.0,$101 ,$20 ,3.0,14.0,3/31/2019,1.92,2.0,1.0,0.0,,
16785518,"Cozy Manhattan Bedroom, Same Street as Subway!",22281210491,unconfirmed,Leslie,Manhattan,Upper East Side,40.78314,-73.94659,United States,US,False,flexible,Private room,2022.0,$90 ,$18 ,1.0,45.0,6/27/2019,2.34,5.0,1.0,7.0,,
22995027,Amazing 2 person shared room close to subway!!!,73226309943,verified,Sergey,Brooklyn,Bushwick,40.69102,-73.90525,United States,US,False,flexible,Shared room,2009.0,$884 ,$177 ,30.0,0.0,,,2.0,6.0,365.0,NO Smoking.,
49101695,Bushwick Music Mansion,44628460520,unconfirmed,Janeth,Brooklyn,Bushwick,40.68936,-73.90814,United States,US,True,moderate,Private room,2011.0,$217 ,$43 ,1.0,5.0,9/15/2018,0.14,1.0,1.0,89.0,"Respect yourself, respect others, clean up after yourself. No smoking or drinking in the apt. Late check in after 9 p.m. and before 9 A.m. is $50, lock out is $50. Thank you ",
28223098,Sunny Studio steps from Wall Street,72939102492,verified,Farina,Manhattan,Financial District,40.70603,-74.01084,United States,US,True,moderate,Entire home/apt,2012.0,$552 ,$110 ,1.0,1.0,7/3/2019,1.0,5.0,1.0,181.0,,
34280725,Waterfront one bedroom in a luxury building,60039849340,verified,Floriane,Brooklyn,Williamsburg,40.7183,-73.96524,United States,US,True,moderate,Entire home/apt,2012.0,"$1,031 ",$206 ,2.0,1.0,12/27/2021,0.32,5.0,1.0,0.0,,
41967084,Cozy bedroom minutes to Manhattan,45194946787,verified,Dafni,Queens,Astoria,40.76837,-73.92712,United States,US,True,strict,Private room,2017.0,$681 ,$136 ,2.0,4.0,6/29/2019,1.15,3.0,3.0,31.0,,
38346205,"5mins -JFK Walking to Jamaica LIRR,subway airtrain",91739877551,verified,André,Queens,Jamaica,40.69456,-73.81007,United States,US,False,flexible,Private room,2018.0,"$1,017 ",$203 ,31.0,2.0,3/17/2020,0.08,3.0,3.0,0.0,,
10421365,Small Private Room in quiet Manhattan Apt,35555025407,verified,Elizabeth,Manhattan,Harlem,40.82588,-73.9388,United States,US,False,flexible,Private room,2007.0,$105 ,$21 ,4.0,2.0,8/29/2016,0.06,5.0,1.0,276.0,"Smoking allowed outside, on grounds, pets under 10 lb sitting available additional charge and events possibly  pre aproved by owners,",
45821033,"City Retrieve3. Twin bed, lovely, simple",35160036716,verified,Jana,Manhattan,Harlem,40.82419,-73.94639,United States,US,True,flexible,Private room,2004.0,$814 ,$163 ,31.0,0.0,,,4.0,4.0,78.0,"- It is just the couch you will be sleeping on, but you will have access to the rest of the house i.e bathroom and kitchen. 3 of us live here and are very friendly! But as you can see from the pictures, our place is spacious. - We are not allowed to make extra copies of keys so you just need to coordinate with one us when you need to be let in. We are flexible and willing to accommodate you. Our place is meant for short visits, a few days tops so you don't have to pay crazy Boston hotel prices. -We provide clean sheets, a pillow, and blankets to make your stay as comfortable as possible -New Rule 7/27: I didn't realize how many bookings I would get, so I ask that you check in and check out before or at 10:00 AM on the days of your reservation. If other accommodations are needed, please contact me! If not, I will plan for a 10:00 AM arrival and a 10:00 AM departure. I'm very flexible and can wake up early or late to let you in, but I just need to know in advance!",
3503255,"Nice Cozy Room in BROOKLYN, NYC, NY, Bushwick",29553200576,unconfirmed,Victor,Brooklyn,Bushwick,40.69545,-73.91967,United States,US,True,strict,Private room,2022.0,$300 ,$60 ,2.0,182.0,6/21/2019,3.62,1.0,2.0,378.0,No Loud Music,
3686619,"“No Place Like Home”
1st Floor Suburban Apt.",89445511171,unconfirmed,"Lisa, Nancy & John",Staten Island,Eltingville,40.54268,-74.16254,United States,US,False,strict,Private room,2014.0,$329 ,$66 ,1.0,145.0,7/5/2019,2.38,3.0,1.0,103.0,"Please Note: This unit was just renovated last year and it comfortably accommodates 6 guests, but up to 7 guests are permitted if you so desire (two guests in each bedroom and 1 or 2 guests on the available queen size air mattress). Please request an air mattress (if needed) when making a reservation. No smoking, no pets, no parties, and must be 25 years old to book.   For check-out, please ensure: -  All plates and cups are left in the sink or dishwasher -  All trash is left in the kitchen trash can or bagged and left next to the trash can (additional bags are under the sink) -  All windows are closed and locked -  If used, the air mattresses are deflated and put away (please leave used linens for the air mattresses on the floor) -  If furniture was moved during your stay, please return to its original location Please be mindful to our neighbors in the building; quiet hours after 10pm. Please be considerate of our next guests who will be staying after you, if something is broken or ne",
34154800,"Midtown/Hudson Yards private room ,41d3",55265776640,unconfirmed,Hudson,Manhattan,Hell's Kitchen,40.75569,-73.99831,United States,US,False,moderate,Private room,2016.0,$257 ,$51 ,2.0,10.0,12/29/2021,1.07,5.0,22.0,353.0,,
29640300,Feel at home,40621867885,unconfirmed,Tom,Brooklyn,East New York,40.66836,-73.89257,United States,US,False,strict,Entire home/apt,2003.0,$210 ,$42 ,2.0,45.0,2/24/2022,0.63,2.0,2.0,339.0,,
32631557,Large sunny bedroom in apt share close to City!,54184062344,unconfirmed,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.6898,-73.92797,United States,US,False,strict,Private room,2010.0,$672 ,$134 ,30.0,1.0,1/15/2022,0.6,2.0,11.0,294.0,,
16076365,Alluring Private Bedroom in Spacious UWS Apt,47464812408,verified,Trevor,Manhattan,Upper West Side,40.79741,-73.9697,United States,US,True,flexible,Private room,2005.0,$783 ,$157 ,2.0,27.0,6/9/2019,1.33,2.0,1.0,63.0,- Concierge available between 8am and Midnight,
1571310,Sunny and Zen W. Village Studio of Your Own,94790777990,unconfirmed,Shelley,Manhattan,West Village,40.73041,-74.00498,United States,US,True,moderate,Entire home/apt,2017.0,$324 ,$65 ,7.0,5.0,5/21/2015,0.09,3.0,1.0,8.0,No Smoking No Pets,
47344829,Spacious Oasis - Heart of Harlem - Great Location!,88382438192,unconfirmed,Chiarra,Manhattan,Harlem,40.81083,-73.95188,United States,US,True,moderate,Private room,2006.0,$124 ,$25 ,4.0,0.0,,,4.0,1.0,0.0,"(website hidden) intentional damage is done to the boat or its contents.  (website hidden) charges are incurred due to contraband, pets or collection of rents or services rendered during the stay. 3.All debris, rubbish and discards are placed in the properly bagged, and soiled dishes are placed cleaned. 4.All keys are left on the kitchen table and unit is left locked. (website hidden) linens are lost or damaged. (website hidden) Early check-in or late check-out, unless approved in advance. 5.PAYMENT - An advance payment equal to 50% of the total is required when the reservation is confirmed. The balance is due one month before your arrival date. Please make payments in the form of credit card (Mastercard or Visa). We do not accept payments in the form of traveler's checks, bank money orders, cashiers checks or personal checks. 6.CANCELLATIONS - A sixty (60) day advance notice is required for cancellation. Cancellations that are made more than sixty (60) days prior to the arrival date w",
49312122,Spaceous Bushwick Two Floor Apartment,60715451177,unconfirmed,Charlie,Brooklyn,Bushwick,40.6988,-73.91239,United States,US,False,strict,Private room,2008.0,$310 ,$62 ,2.0,0.0,,,1.0,1.0,0.0,Keep the apartment clean,
41551754,Spacious One-Bedroom in the Hills of Inwood,29641209359,verified,Perla,Manhattan,Inwood,40.87188,-73.91936,United States,US,True,moderate,Entire home/apt,2022.0,$943 ,$189 ,1.0,2.0,4/2/2018,0.12,2.0,1.0,188.0,,
43875280,Small furnished room in shared West Village apt,1003134054,verified,Sarah,Manhattan,West Village,40.73368,-74.00049,United States,US,False,moderate,Private room,2014.0,$677 ,$135 ,2.0,2.0,1/3/2017,0.06,4.0,1.0,0.0,,
54529147,"Sunny, Artistic Getaway Near Prospect Park",66242368043,verified,Monica,Brooklyn,Flatbush,40.65323,-73.96372,United States,US,False,strict,Entire home/apt,2016.0,$307 ,$61 ,2.0,11.0,2/24/2019,0.93,3.0,1.0,0.0,No smoking. No Pets. Please be mindful of noise levels while enjoying the outdoor space. No parties.,
42834195,Lovely stay next to Prospect Park,31613725386,unconfirmed,Alex,Brooklyn,Prospect-Lefferts Gardens,40.65563,-73.96052,United States,US,True,strict,Private room,2008.0,"$1,166 ",$233 ,2.0,137.0,5/23/2019,3.94,2.0,1.0,0.0,,
54772712,LUXURY 1 BR IN CHELSEA-24 HR GYM & SKYLINE VIEWS,46005443548,verified,Pranjal,Manhattan,Chelsea,40.74631,-73.99121,United States,US,False,strict,Entire home/apt,2009.0,"$1,192 ",$238 ,30.0,0.0,,,4.0,65.0,364.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties, pets and smoking are not allowed under any circumstances and incur significant fees.",
19109044,Mamas 2 twins purple #4 boro pk 2nd flr D train,49485876155,verified,Ms. Edith,Brooklyn,Borough Park,40.63294,-73.99317,United States,US,True,moderate,Private room,2019.0,$529 ,$106 ,3.0,3.0,6/10/2019,0.29,3.0,4.0,179.0,Be respectful of neighbors and the property.,
29696635,GRAND OPENING NEW 2 bedroom in Times Square area,84011400596,verified,John,Manhattan,Hell's Kitchen,40.75679,-73.99375,United States,US,True,strict,Entire home/apt,2011.0,$235 ,$47 ,3.0,19.0,2/24/2022,5.09,3.0,1.0,170.0,,
34813694,Spacious rooms in heart of third avenue in bronx.,17159612702,unconfirmed,Paras,Bronx,Melrose,40.81838,-73.91584,United States,US,True,flexible,Private room,2008.0,$461 ,$92 ,4.0,1.0,12/14/2021,0.37,5.0,1.0,365.0,,
38212549,Comfy LGA apt in Queens,91497534402,verified,Md,Queens,East Elmhurst,40.76017,-73.88227,United States,US,True,flexible,Entire home/apt,2014.0,"$1,114 ",$223 ,30.0,141.0,4/17/2020,3.35,3.0,1.0,31.0,,
9213485,"Big, bright apartment by the beach.",60524557921,unconfirmed,Matt,Brooklyn,Brighton Beach,40.57844,-73.95822,United States,US,False,flexible,Entire home/apt,2007.0,$223 ,$45 ,1.0,0.0,,,4.0,1.0,101.0,"1.The security deposit will be returned to the lessee, without interest, after lessee has vacated the premises and left the premises in clean and reasonable condition.  The security deposit is non-refundable in case of noise violation and damage.   2.Premises may not be sublet. 3.Lessee agrees to leave the unit clean with doors and windows locked.  4.Premises shall be delivered to lessee in good and clean condition with all furnishings.   5.Lessee shall not smoke in the unit nor permit others to do so; no additional guests or pets are allowed.  6.Lessor is not liable for any tenant injury within the building or apartment unit. 7.The lessor can cancel the agreement should the unit be deemed unrentable without financial penalty.",
36739564,Full Service Luxury Apt In The Heart of Tribeca,27360971101,unconfirmed,Trevor,Manhattan,Tribeca,40.7139,-74.00732,United States,US,True,flexible,Entire home/apt,2015.0,"$1,057 ",$211 ,14.0,2.0,8/1/2021,0.06,2.0,1.0,0.0,,
47627607,Spacious duplex in townhouse.,8034049803,verified,Maria,Brooklyn,Crown Heights,40.67578,-73.92731,United States,US,True,moderate,Entire home/apt,2015.0,$640 ,$128 ,7.0,0.0,,,1.0,1.0,286.0,"Check-in and check-out times are flexible. In general, afternoon/evening check-ins and morning/early afternoon check-outs are preferred. Guests are expected to be respectful and independent.  Guests are welcome to use the kitchen, and are asked to clean up after themselves.",
22634375,THE BEST LOCATION TO EXPERIENCE NYC!  B/3,35911957640,unconfirmed,Melly,Brooklyn,Bedford-Stuyvesant,40.68736,-73.95777,United States,US,False,moderate,Private room,2009.0,$650 ,$130 ,15.0,5.0,5/18/2019,0.94,4.0,11.0,343.0,No smoking and no party allowed. We don't want the neighbor to complain.,
29530393,1 BR Luxury Apt FiosTV Broadband Internet Self Chk,22392246186,verified,Temi,Staten Island,Graniteville,40.61887,-74.14987,United States,US,True,strict,Entire home/apt,2020.0,$487 ,$97 ,2.0,6.0,2/26/2022,6.0,4.0,1.0,311.0,,
18825714,Charming East Village Bedroom,79836448905,unconfirmed,Di,Manhattan,East Village,40.72967,-73.98668,United States,US,False,moderate,Private room,2019.0,$361 ,$72 ,2.0,2.0,7/22/2018,0.15,5.0,1.0,0.0,"No smoking, this is non-negotiable.  No illegal drug use and we make no exceptions.  We do not allow additional guests or parties.  We expect respectful behavior, particularly late at night. We can allow friendly, house- trained dogs.  We have a dog of our own, so its important that your dog be under your charge at all times.  You may not leave your dog in the apartment alone.  You will be responsible for any damage pets may incur, including paying for cleaning of carpets should they be soiled.",
41904122,Sonder | Stock Exchange | Artsy 1BR + Laundry,64089684131,verified,Sonder (NYC),Manhattan,Financial District,40.70609,-74.01219,United States,US,False,flexible,Entire home/apt,2017.0,$903 ,$181 ,2.0,7.0,6/16/2019,2.08,4.0,327.0,331.0,,
